GC_ID,ptype,group_id,snapform,x,y,z,vx,vy,vz,lx,ly,lz,ek,ep
58316245,star,0,108,-4.05315869498736,-1.444384930022352,1.488420972316817,128.62984,88.88177,96.42899,-271.5740710971986,582.2973594494563,-174.4609096819759,16872.07921828376,-22594.516
51356272,star,0,108,21.22369340006844,4.182163982855855,2.9866014041544986,33.89555,-39.615116,34.06078,260.7623269799567,-621.6630460434106,-982.5358259705627,1939.2012254322253,64841.41
35289451,star,0,108,29.450588227555272,2.5697482808609493,6.878360953800438,91.76102,-80.73782,-14.983135,516.8410065809812,1072.4275411743079,-2613.579109174189,7581.58692400076,78850.61
58625619,star,0,108,-9.3785618035472,-4.197003669301921,-3.814298777571821,-169.46465,-4.566541,11.76154,-66.7813807670946,756.6951234038058,-668.416149675947,14438.726107302238,33593.82
58494168,star,0,108,3.6582380955151166,-2.1171564400938223,5.868247173311829,129.08328,-69.71865,112.257286,171.46003943476856,346.8287270736016,18.242078401446946,17062.441904493142,12341.858
42834554,star,0,108,-0.6526625950718881,-0.30522650720376987,3.2505684696297976,-35.16511,230.78958,-114.98503,-715.1008566571387,-189.35303161899748,-161.3610512173664,33860.98879099311,-36230.66
49120199,star,0,108,-7.75753816949873,3.543960529837932,-0.35300476582779083,-50.888733,255.10965,-82.34172,-201.76088556019778,-620.8050751055082,-1798.675183783901,37225.378162734676,17224.43
45014168,star,0,108,0.02226904525741702,1.9857855874943198,9.921552635954868,-52.566048,18.872366,65.756065,-56.66572525378342,-523.0011336023533,104.8051694230507,3721.6076410033565,30575.178
36864889,star,0,111,-6.868324072638643,1.6519571227545384,-1.732881038042251,-70.444954,68.39025,-164.28477,-152.8792344368622,-1006.2883485203156,-353.35436498604,18314.601595766842,10506.758
35074844,star,0,111,0.6749583673372399,-5.395342649870145,1.6015494362436584,28.69926,-39.64753,-147.71393,860.4647356021727,145.66403663951905,128.08191348826026,12107.490209268406,-10317.245
66729038,star,0,146,11.453657951729838,3.397824523432064,-0.7422847948182607,-143.719,-159.81274,2.6799932,-109.52042353717019,75.98469919409129,-1342.108584940031,23101.222536899615,34606.94
57997094,star,0,146,-7.71118265237601,-2.635759015705844,3.7304154216544703,244.92288,-84.85489,44.806095,198.4459170352937,1259.1720798630138,1299.889241973698,34597.57579014124,17884.113
30291208,star,0,147,1.1487531610546284,-1.2944590785627952,1.8099862204180681,23.814001,-65.290726,52.87932,49.725200292099615,-17.642270165589494,-44.17667764534693,3813.1040393121366,-54893.953
41206916,star,0,147,-4.90958359468641,-8.966433961431903,10.581244217333733,40.9667,47.87694,156.3756,-1908.7290588837022,1201.217729707,132.26937624495957,14211.900544178206,45782.17
45204989,star,0,147,-10.248775418353034,-1.3677061997223063,6.226992123942182,115.01935,-65.35226,-37.786663,458.62904154687965,328.9575515329834,827.0932783138084,9464.099061680143,33420.2
63172755,star,0,147,-0.9833007078123046,0.5251942541799508,0.7942732915034867,-279.49915,162.00113,93.03522,-79.81160852301491,-130.5171112669365,-12.504479691062528,56509.847986551,-106613.914
