# GC ID
120378300 0
120566739 0
121866397 0
119999072 0
120189686 0
131201152 0
123674921 0
120187121 0
120376251 0
114920716 0
115516470 0
121130415 0
118658572 0
132915737 0
119618715 0
120002181 0
122234952 0
122782033 0
119234258 0
118658571 0
120572487 0
122050148 0
119428975 0
122047108 0
119804751 0
115319024 0
120569868 0
121135122 0
121319154 0
120761015 0
124029881 0
119809856 0
120379857 0
123319955 0
126941542 0
124207617 0
119805759 0
123320985 0
119234772 0
118848786 0
119807799 0
120189683 0
123679028 0
120946222 0
120936421 0
119807798 0
120380918 0
128524331 0
119429495 0
119618194 0
122963920 0
119427937 0
120760479 0
120938455 0
122962880 0
122776884 0
120946206 0
119621824 0
119997529 0
119998555 0
